record_id,data_json
347,"{""test_suite"": ""integration_tests"", ""passed"": 145, ""failed"": 3}"
348,"{""build_number"": ""BUILD789"", ""commit_hash"": ""abc123def"", ""deployment_time"": ""2024-01-20T14:25:00Z""}"
349,"{""region"": ""ap-south-1"", ""availability_zone"": ""ap-south-1a"", ""instance_type"": ""t3.medium""}"
350,"{""security_scan"": ""vulnerability_assessment"", ""high_risk"": 0, ""medium_risk"": 2}"
351,"{""load_balancer"": ""ALB"", ""target_groups"": 2, ""healthy_targets"": 6}"
352,"{""cdn_provider"": ""CloudFront"", ""cache_hit_ratio"": 0.92, ""origin_requests"": 1500}"
353,"{""ssl_certificate"": ""wildcard"", ""issuer"": ""Let's Encrypt"", ""expiry"": ""2024-12-31""}"
354,"{""monitoring_dashboard"": ""system_overview"", ""widgets"": 12, ""refresh_interval"": 30}"
355,"{""compliance_check"": ""gdpr"", ""status"": ""compliant"", ""last_audit"": ""2024-01-01""}"
356,"{""machine_learning_model"": ""recommendation_engine"", ""accuracy"": 0.89, ""training_data"": ""1M_samples""}"
357,"{""data_pipeline"": ""etl_daily"", ""source"": ""mongodb"", ""destination"": ""data_warehouse""}"
358,"{""kubernetes_pod"": ""api-deployment-abc123"", ""cpu_usage"": ""65%"", ""memory_usage"": ""512MB""}"
359,"{""docker_image"": ""app:v1.2.3"", ""size"": ""150MB"", ""layers"": 8}"
360,"{""git_branch"": ""feature/new-ui"", ""commits_ahead"": 5, ""merge_conflicts"": false}"
361,"{""network_interface"": ""eth0"", ""bytes_in"": 1048576, ""bytes_out"": 524288}"
362,"{""file_system"": ""/dev/sda1"", ""total_space"": ""100GB"", ""free_space"": ""25GB""}"
363,"{""process_id"": ""12345"", ""cpu_time"": ""2.5s"", ""memory_usage"": ""256MB""}"
364,"{""thread_pool"": ""worker_threads"", ""active_threads"": 8, ""queue_size"": 15}"
365,"{""garbage_collection"": ""G1GC"", ""pause_time"": ""10ms"", ""frequency"": ""every_30s""}"
366,"{""connection_string"": ""postgresql://localhost:5432/app_db"", ""max_connections"": 100, ""current_connections"": 45}"
367,"{""search_index"": ""products_v2"", ""document_count"": 1000000, ""size"": ""2.1GB""}"
368,"{""message_broker"": ""RabbitMQ"", ""exchange_type"": ""topic"", ""routing_key"": ""order.created""}"
369,"{""streaming_platform"": ""Apache Kafka"", ""partition_count"": 12, ""replication_factor"": 3}"
370,"{""container_orchestrator"": ""Kubernetes"", ""namespace"": ""production"", ""pod_count"": 25}"
371,"{""microservice_architecture"": ""event_driven"", ""service_count"": 15, ""communication"": ""async""}"
372,"{""api_gateway"": ""Kong"", ""rate_limiting"": ""1000_rpm"", ""authentication"": ""JWT""}"
373,"{""service_mesh"": ""Istio"", ""sidecar_proxy"": ""Envoy"", ""mTLS_enabled"": true}"
374,"{""observability_stack"": ""ELK"", ""log_retention"": ""30_days"", ""alert_rules"": 25}"
375,"{""aadhar"": ""789023456781"", ""address_verification"": ""completed"", ""timestamp"": ""2024-01-20T09:15:00Z""}"
376,"{""name"": ""Arjun Kapoor"", ""email"": ""arjun.kapoor@film.in"", ""address"": ""456 Film City Road, Mumbai, 400059""}"
377,"{""phone"": ""9876543210"", ""carrier_name"": ""Airtel"", ""plan_type"": ""postpaid""}"
378,"{""upi_id"": ""arjun123@paytm"", ""linked_bank"": ""HDFC Bank"", ""kyc_status"": ""verified""}"
379,"{""passport"": ""P9876543"", ""issue_place"": ""Mumbai"", ""validity"": ""10_years""}"
380,"{""name"": ""Sonam Gupta"", ""phone"": ""8765432109"", ""email"": ""sonam@personal.in"", ""device_type"": ""Android""}"
381,"{""aadhar"": ""890134567890"", ""biometric_status"": ""locked"", ""unlock_required"": true}"
382,"{""name"": ""Vikash Singh"", ""address"": ""789 Sector 18, Noida, 201301"", ""ip_address"": ""203.88.156.72""}"
383,"{""phone"": ""7654321098"", ""international_code"": ""+91"", ""verified"": true}"
384,"{""upi_id"": ""vikash@okaxis"", ""transaction_pin"": ""set"", ""daily_limit"": 100000}"
385,"{""passport"": ""L1234567"", ""photo_updated"": ""2024-01-15"", ""pages_left"": 32}"
386,"{""name"": ""Meera Sharma"", ""email"": ""meera.sharma@office.com"", ""department"": ""HR""}"
387,"{""aadhar"": ""901245678901"", ""mobile_verification"": ""pending"", ""otp_sent"": true}"
388,"{""name"": ""Rohit Shetty"", ""address"": ""123 Andheri West, Mumbai, 400053"", ""phone"": ""8901234567""}"
389,"{""phone"": ""6789012345"", ""sms_service"": ""enabled"", ""promotional_consent"": false}"
390,"{""upi_id"": ""rohit789@ybl"", ""beneficiary_limit"": 20, ""recent_transaction"": ""2024-01-20""}"
391,"{""passport"": ""A8765432"", ""emergency_contact_name"": ""Priya Shetty"", ""relationship"": ""spouse""}"
392,"{""name"": ""Kavya Madhavan"", ""email"": ""kavya@actress.in"", ""ip_address"": ""117.196.152.38""}"
393,"{""aadhar"": ""012356789012"", ""demographic_auth"": ""success"", ""attempt_count"": 1}"
394,"{""name"": ""Ajay Devgan"", ""address"": ""567 Juhu Scheme, Mumbai, 400049"", ""email"": ""ajay@action.com""}"
395,"{""phone"": ""9234567801"", ""call_log_consent"": true, ""privacy_setting"": ""medium""}"
396,"{""upi_id"": ""ajay@icici"", ""merchant_payments"": 15, ""last_settlement"": ""2024-01-19""}"
397,"{""passport"": ""H9876543"", ""visa_pages"": 8, ""endorsement_pages"": 2}"
398,"{""name"": ""Tabu Khan"", ""phone"": ""8123456789"", ""email"": ""tabu@versatile.in""}"
399,"{""aadhar"": ""123467890123"", ""bank_seeding"": ""completed"", ""subsidy_linked"": true}"
400,"{""name"": ""Nawazuddin Siddiqui"", ""address"": ""890 Versova Link Road, Mumbai, 400061"", ""ip_address"": ""59.144.203.147""}"
401,"{""phone"": ""7890123456"", ""roaming_activated"": true, ""international_plan"": ""active""}"
402,"{""upi_id"": ""nawaz@sbi"", ""family_account"": true, ""members_linked"": 4}"
403,"{""passport"": ""T5678901"", ""chip_technology"": ""enabled"", ""security_features"": ""enhanced""}"
404,"{""name"": ""Konkona Sen"", ""email"": ""konkona@independent.in"", ""device_id"": ""IPHONE789""}"
405,"{""aadhar"": ""234578901234"", ""disability_flag"": false, ""senior_citizen"": false}"
406,"{""name"": ""Irrfan Khan"", ""address"": ""234 Hill Road, Mumbai, 400050"", ""phone"": ""6901234578""}"
407,"{""phone"": ""9567801234"", ""caller_tune"": ""enabled"", ""ringback_tone"": ""bollywood_classic""}"
408,"{""upi_id"": ""irrfan@phonepe"", ""insurance_premium"": ""auto_debit"", ""policy_linked"": true}"
409,"{""passport"": ""K8765432"", ""place_of_birth"": ""Mumbai"", ""spouse_name"": ""Sutapa Sikdar""}"
410,"{""name"": ""Pankaj Tripathi"", ""email"": ""pankaj@character.in"", ""ip_address"": ""14.139.78.92""}"
411,"{""aadhar"": ""345689012345"", ""rural_address"": false, ""urban_classification"": true}"
412,"{""name"": ""Radhika Apte"", ""address"": ""678 Linking Road, Mumbai, 400054"", ""email"": ""radhika@bold.com""}"
413,"{""phone"": ""8456789012"", ""missed_call_alert"": true, ""call_waiting"": ""enabled""}"
414,"{""upi_id"": ""radhika@unionbank"", ""loan_emi"": ""auto_pay"", ""next_due"": ""2024-02-01""}"
415,"{""passport"": ""R2345678"", ""frequent_traveler"": true, ""miles_accumulated"": 50000}"
416,"{""name"": ""Ayushmann Khurrana"", ""phone"": ""7345678901"", ""email"": ""ayushmann@versatile.in""}"
417,"{""aadhar"": ""456790123456"", ""health_id"": ""linked"", ""vaccination_status"": ""fully_vaccinated""}"
418,"{""name"": ""Bhumi Pednekar"", ""address"": ""789 Khar West, Mumbai, 400052"", ""ip_address"": ""122.161.94.205""}"
419,"{""phone"": ""9678901234"", ""network_type"": ""4G"", ""data_usage"": ""15GB_monthly""}"
420,"{""upi_id"": ""bhumi@kotak"", ""savings_goal"": ""home_purchase"", ""target_amount"": 5000000}"
421,"{""passport"": ""S9012345"", ""digital_copy"": ""available"", ""qr_code"": ""generated""}"
422,"{""name"": ""Rajkummar Rao"", ""email"": ""rajkummar@method.in"", ""device_type"": ""Samsung""}"
423,"{""aadhar"": ""567801234567"", ""aadhaar_pay"": ""enabled"", ""micro_atm"": ""registered""}"
424,"{""name"": ""Kriti Sanon"", ""address"": ""123 Versova, Mumbai, 400061"", ""phone"": ""8789012345""}"
425,"{""phone"": ""6789012345"", ""backup_sim"": ""inactive"", ""primary_number"": true}"
426,"{""upi_id"": ""kriti@yesbank"", ""credit_score_check"": ""monthly"", ""current_score"": 785}"
427,"{""passport"": ""C6789012"", ""biometric_data"": ""encrypted"", ""facial_recognition"": true}"
428,"{""name"": ""Kartik Aaryan"", ""email"": ""kartik@comedy.in"", ""ip_address"": ""203.192.168.74""}"
429,"{""aadhar"": ""678912345678"", ""consent_manager"": ""registered"", ""data_sharing"": ""limited""}"
430,"{""name"": ""Ananya Panday"", ""address"": ""456 Bandra Bandstand, Mumbai, 400050"", ""email"": ""ananya@gen_z.com""}"
431,"{""phone"": ""7890123456"", ""video_calling"": true, ""screen_sharing"": ""enabled""}"
432,"{""upi_id"": ""ananya@hdfcbank"", ""student_account"": true, ""education_loan"": ""linked""}"
433,"{""passport"": ""N3456789"", ""minor_passport"": false, ""guardian_details"": ""not_applicable""}"
434,"{""name"": ""Tiger Shroff"", ""phone"": ""8901234567"", ""email"": ""tiger@action.in""}"
435,"{""aadhar"": ""789023456789"", ""fitness_tracker"": ""linked"", ""health_records"": ""digital""}"
436,"{""name"": ""Disha Patani"", ""address"": ""789 Khar Road, Mumbai, 400052"", ""ip_address"": ""117.196.187.56""}"
437,"{""phone"": ""9012345678"", ""ai_assistant"": ""enabled"", ""voice_recognition"": true}"
438,"{""upi_id"": ""disha@axis"", ""fashion_expenses"": ""tracked"", ""budget_alert"": true}"
439,"{""passport"": ""D7890123"", ""travel_insurance"": ""comprehensive"", ""coverage"": ""worldwide""}"
440,"{""name"": ""Vicky Kaushal"", ""email"": ""vicky@intense.in"", ""device_id"": ""ONEPLUS123""}"
441,"{""aadhar"": ""890134567890"", ""military_service"": ""eligible"", ""ncc_certificate"": true}"
442,"{""name"": ""Kiara Advani"", ""address"": ""321 Juhu Tara Road, Mumbai, 400049"", ""phone"": ""7123456890""}"
443,"{""phone"": ""8234567890"", ""conference_call"": ""premium"", ""participants_limit"": 50}"
444,"{""upi_id"": ""kiara@indianbank"", ""jewelry_insurance"": ""active"", ""premium"": ""monthly""}"
445,"{""passport"": ""V4567890"", ""diplomatic_immunity"": false, ""official_travel"": ""business""}"
446,"{""name"": ""Sidharth Malhotra"", ""email"": ""sidharth@romantic.in"", ""ip_address"": ""59.144.219.83""}"
447,"{""aadhar"": ""901245678901"", ""property_registration"": ""linked"", ""stamp_duty"": ""paid""}"
448,"{""name"": ""Shraddha Kapoor"", ""address"": ""654 Lokhandwala, Mumbai, 400053"", ""email"": ""shraddha@melodious.com""}"
449,"{""phone"": ""9345678012"", ""music_streaming"": ""premium"", ""offline_downloads"": 500}"
450,"{""upi_id"": ""shraddha@pnb"", ""concert_tickets"": ""auto_book"", ""artist_alerts"": true}"
451,"{""passport"": ""U8901234"", ""artist_visa"": ""multi_entry"", ""performance_permit"": true}"
452,"{""name"": ""Varun Sharma"", ""phone"": ""8456789012"", ""email"": ""varun@comedy.in""}"
453,"{""aadhar"": ""012356789012"", ""comedy_club"": ""member"", ""performance_rights"": ""registered""}"
454,"{""name"": ""Janhvi Kapoor"", ""address"": ""987 Lokhandwala Complex, Mumbai, 400053"", ""ip_address"": ""203.88.194.127""}"
455,"{""phone"": ""7567890123"", ""fashion_alerts"": true, ""brand_notifications"": ""selective""}"
456,"{""upi_id"": ""janhvi@canara"", ""designer_payments"": ""frequent"", ""luxury_limit"": 1000000}"
457,"{""passport"": ""F5678901"", ""fashion_week"": ""participant"", ""designer_collaboration"": true}"
458,"{""name"": ""Arjun Reddy"", ""email"": ""arjun@intense.in"", ""device_type"": ""OnePlus""}"
459,"{""aadhar"": ""123467890123"", ""medical_college"": ""alumni"", ""practicing_license"": ""valid""}"
460,"{""name"": ""Rashmika Mandanna"", ""address"": ""234 Banjara Hills, Hyderabad, 500034"", ""phone"": ""9678901234""}"
461,"{""phone"": ""6890123456"", ""regional_content"": ""Telugu"", ""dubbing_preference"": ""original""}"
462,"{""upi_id"": ""rashmika@sbi"", ""south_cinema"": ""promotions"", ""fan_engagement"": ""high""}"
463,"{""passport"": ""G6789012"", ""regional_cinema"": ""ambassador"", ""cultural_exchange"": true}"
464,"{""name"": ""Allu Arjun"", ""email"": ""allu@stylish.in"", ""ip_address"": ""14.139.89.156""}"
465,"{""aadhar"": ""234578901234"", ""dance_academy"": ""owner"", ""choreography_rights"": ""exclusive""}"
466,"{""name"": ""Samantha Akkineni"", ""address"": ""567 Film Nagar, Hyderabad, 500096"", ""email"": ""samantha@versatile.in""}"
467,"{""phone"": ""8901234567"", ""charity_work"": ""active"", ""foundation_calls"": ""priority""}"
468,"{""upi_id"": ""samantha@hdfc"", ""donation_auto"": ""monthly"", ""cause"": ""women_empowerment""}"
469,"{""passport"": ""I9012345"", ""humanitarian_visa"": ""active"", ""ngo_collaboration"": true}"
470,"{""name"": ""Ram Charan"", ""phone"": ""7234567890"", ""email"": ""ram@megastar.in""}"
471,"{""aadhar"": ""345689012345"", ""horse_racing"": ""license"", ""stable_owner"": true}"
472,"{""name"": ""Jr NTR"", ""address"": ""890 Jubilee Hills, Hyderabad, 500033"", ""ip_address"": ""122.161.178.94""}"
473,"{""phone"": ""8345678901"", ""political_updates"": ""subscribed"", ""rally_notifications"": true}"
474,"{""upi_id"": ""ntr@andhra"", ""political_donations"": ""transparent"", ""party_fund"": ""contributor""}"
475,"{""passport"": ""J0123456"", ""political_visa"": ""diplomatic"", ""state_visits"": ""official""}"
476,"{""name"": ""Mahesh Babu"", ""email"": ""mahesh@superstar.in"", ""device_id"": ""PRINCE123""}"
477,"{""aadhar"": ""456790123456"", ""production_house"": ""owner"", ""film_financing"": ""independent""}"
478,"{""name"": ""Prabhas Raju"", ""address"": ""123 Banjara Hills, Hyderabad, 500034"", ""phone"": ""9456789012""}"
479,"{""phone"": ""7678901234"", ""pan_india"": ""stardom"", ""multilingual_alerts"": true}"
480,"{""upi_id"": ""prabhas@federal"", ""movie_budget"": ""international"", ""currency"": ""multi""}"
481,"{""passport"": ""B3456789"", ""international_filming"": ""permitted"", ""visa_facilitation"": true}"
482,"{""name"": ""Rana Daggubati"", ""email"": ""rana@versatile.in"", ""ip_address"": ""203.192.147.29""}"
483,"{""aadhar"": ""567801234567"", ""visual_effects"": ""studio_owner"", ""technology_innovator"": true}"
484,"{""name"": ""Anushka Shetty"", ""address"": ""456 Filmnagar, Hyderabad, 500096"", ""email"": ""anushka@baahubali.in""}"
485,"{""phone"": ""8567890123"", ""fitness_regime"": ""strict"", ""trainer_calls"": ""daily""}"
486,"{""upi_id"": ""anushka@karnataka"", ""fitness_equipment"": ""premium"", ""health_monitoring"": ""advanced""}"
487,"{""passport"": ""E4567890"", ""fitness_travel"": ""wellness"", ""spa_treatments"": ""international""}"
488,"{""name"": ""Tamannaah Bhatia"", ""phone"": ""9789012345"", ""email"": ""tamannah@glamorous.in""}"
489,"{""aadhar"": ""678912345678"", ""brand_ambassador"": ""multiple"", ""endorsement_value"": ""premium""}"
490,"{""name"": ""Kajal Aggarwal"", ""address"": ""789 Banjara Hills, Hyderabad, 500034"", ""ip_address"": ""117.196.203.81""}"
491,"{""phone"": ""6123456789"", ""punjabi_connection"": ""cultural"", ""regional_films"": ""multilingual""}"
492,"{""upi_id"": ""kajal@punjab"", ""cultural_events"": ""sponsor"", ""heritage_preservation"": ""donor""}"
493,"{""passport"": ""L7890123"", ""cultural_ambassador"": ""official"", ""international_events"": ""participant""}"
494,"{""name"": ""Rakul Preet Singh"", ""email"": ""rakul@fitness.in"", ""device_type"": ""iPhone_Pro""}"
495,"{""aadhar"": ""789023456789"", ""fitness_influencer"": ""certified"", ""wellness_brand"": ""founder""}"
496,"{""name"": ""Pooja Hegde"", ""address"": ""321 Film City, Hyderabad, 500096"", ""phone"": ""8234567890""}"
497,"{""phone"": ""7890123456"", ""dance_choreography"": ""skilled"", ""performance_rights"": ""exclusive""}"
498,"{""upi_id"": ""pooja@maharashtra"", ""dance_academy"": ""investment"", ""cultural_promotion"": ""active""}"
499,"{""passport"": ""M8901234"", ""dance_festivals"": ""judge"", ""international_recognition"": true}"
500,"{""name"": ""Regina Cassandra"", ""email"": ""regina@multilingual.in"", ""ip_address"": ""59.144.238.195""}"
